day	hour	value
1	1	3
1	2	2
1	3	8
1	4	15
1	5	6
1	6	3
1	7	8
1	8	3
1	9	1
1	10	1
1	11	2
1	12	2
1	13	3
1	14	4
1	15	5
1	16	6
1	17	2
1	18	4
1	19	4
1	20	26
1	21	22
1	22	12
1	23	20
1	24	7
2	1	7
2	2	8
2	3	9
2	4	8
2	5	5
2	6	10
2	7	9
2	8	4
2	9	2
2	10	0
2	11	2
2	12	2
2	13	1
2	14	7
2	15	4
2	16	5
2	17	7
2	18	7
2	19	6
2	20	5
2	21	9
2	22	6
2	23	5
2	24	7
3	1	13
3	2	5
3	3	7
3	4	11
3	5	8
3	6	1
3	7	7
3	8	1
3	9	1
3	10	0
3	11	2
3	12	0
3	13	2
3	14	5
3	15	7
3	16	10
3	17	7
3	18	10
3	19	12
3	20	11
3	21	8
3	22	7
3	23	4
3	24	7
4	1	4
4	2	12
4	3	6
4	4	11
4	5	9
4	6	1
4	7	6
4	8	2
4	9	3
4	10	1
4	11	1
4	12	4
4	13	5
4	14	3
4	15	11
4	16	12
4	17	18
4	18	8
4	19	15
4	20	13
4	21	10
4	22	4
4	23	10
4	24	2
5	1	8
5	2	9
5	3	5
5	4	4
5	5	2
5	6	2
5	7	5
5	8	1
5	9	1
5	10	0
5	11	5
5	12	1
5	13	2
5	14	2
5	15	9
5	16	4
5	17	9
5	18	15
5	19	6
5	20	6
5	21	4
5	22	5
5	23	5
5	24	12
6	1	5
6	2	4
6	3	1
6	4	4
6	5	0
6	6	3
6	7	1
6	8	0
6	9	1
6	10	3
6	11	0
6	12	1
6	13	3
6	14	5
6	15	5
6	16	7
6	17	4
6	18	5
6	19	3
6	20	3
6	21	3
6	22	6
6	23	10
6	24	7
7	1	2
7	2	6
7	3	4
7	4	4
7	5	1
7	6	3
7	7	4
7	8	0
7	9	1
7	10	0
7	11	1
7	12	1
7	13	1
7	14	3
7	15	2
7	16	7
7	17	11
7	18	8
7	19	3
7	20	3
7	21	4
7	22	3
7	23	3
7	24	7
