Time,DevPost,Gender,University,Lat,Lng,Graduation,Major,Experience
4/24/2016 20:16:02,Yes,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2018,Computer Engineering,2
4/24/2016 20:21:21,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,3
4/24/2016 20:32:01,No,Female,Wellesley College,42.2930684,-71.3085829,2020,Computer Science,7
4/24/2016 20:32:11,No,Male,Drexel University,39.9541017,-75.1869029,2020,Computer Science,0
4/24/2016 20:33:42,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2019,Computer Engineering,0
4/24/2016 20:34:03,No,Male,Providence High School,35.1117205,-80.764325,2017,Computer Science,0
4/24/2016 20:34:59,No,Male,Carnegie Mellon University,40.4434658,-79.9434567,2019,Computer Engineering,1
4/24/2016 20:35:27,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2017,Computer Science,4
4/24/2016 20:36:43,No,Male,Clonlara School,42.2542707,-83.7312297,2016,Computer Science,7
4/24/2016 20:39:13,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Systems Engineering,0
4/24/2016 20:39:39,No,Non-Binary,Northwestern University,42.0505569,-87.6797281,2020,Biology,2
4/24/2016 20:42:09,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2019,Biomedical Engineering,0
4/24/2016 20:43:01,No,Male,University of Southern California,34.0522342,-118.2436849,2017,Computer Science,5
4/24/2016 20:44:29,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2016,Computer Science,4
4/24/2016 20:58:56,Yes,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,0
4/24/2016 21:00:51,No,Male,Stony Brook University,40.9132244,-73.1261091,2017,Computer Science,0
4/24/2016 21:05:27,No,Male,Case Western Reserve University,41.5074022,-81.6083276,2017,Biomedical Engineering,7
4/24/2016 21:21:39,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2017,Healthcare Management,0
4/24/2016 21:24:31,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2019,Biomedical Engineering,0
4/24/2016 21:27:43,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,0
